Found 2102 Java files to convert
[1076/2102] ✓ Converted: RenderEffectType.java → converted/include/zombie/iso/objects/RenderEffectType.h
[1077/2102] ✓ Converted: IsoBarbecue.java → converted/include/zombie/iso/objects/IsoBarbecue.h
[1078/2102] ✓ Converted: IsoGenerator.java → converted/include/zombie/iso/objects/IsoGenerator.h
[1079/2102] ✓ Converted: IsoZombieHead.java → converted/include/zombie/iso/objects/IsoZombieHead.h
[1080/2102] ✓ Converted: IsoStackedWasherDryer.java → converted/include/zombie/iso/objects/IsoStackedWasherDryer.h
[1081/2102] ✓ Converted: ClothingWasherLogic.java → converted/include/zombie/iso/objects/ClothingWasherLogic.h
[1082/2102] ✓ Converted: IsoStove.java → converted/include/zombie/iso/objects/IsoStove.h
[1083/2102] ✓ Converted: IsoDeadBody.java → converted/include/zombie/iso/objects/IsoDeadBody.h
[1084/2102] ✓ Converted: IsoBrokenGlass.java → converted/include/zombie/iso/objects/IsoBrokenGlass.h
[1085/2102] ✓ Converted: IsoFire.java → converted/include/zombie/iso/objects/IsoFire.h
[1086/2102] ✓ Converted: IsoClothingDryer.java → converted/include/zombie/iso/objects/IsoClothingDryer.h
[1087/2102] ✓ Converted: IsoCarBatteryCharger.java → converted/include/zombie/iso/objects/IsoCarBatteryCharger.h
[1088/2102] ✓ Converted: IsoCompost.java → converted/include/zombie/iso/objects/IsoCompost.h
[1089/2102] ✓ Converted: IsoDoor.java → converted/include/zombie/iso/objects/IsoDoor.h
[1090/2102] ✓ Converted: IsoRainSplash.java → converted/include/zombie/iso/objects/IsoRainSplash.h
[1091/2102] ✓ Converted: IsoWindow.java → converted/include/zombie/iso/objects/IsoWindow.h
[1092/2102] ✓ Converted: ObjectRenderEffects.java → converted/include/zombie/iso/objects/ObjectRenderEffects.h
[1093/2102] ✓ Converted: IsoCurtain.java → converted/include/zombie/iso/objects/IsoCurtain.h
[1094/2102] ✓ Converted: IsoTelevision.java → converted/include/zombie/iso/objects/IsoTelevision.h
[1095/2102] ✓ Converted: RainManager.java → converted/include/zombie/iso/objects/RainManager.h
[1096/2102] ✓ Converted: NonPvpZone.java → converted/include/zombie/iso/areas/NonPvpZone.h
[1097/2102] ✓ Converted: SafeHouse.java → converted/include/zombie/iso/areas/SafeHouse.h
[1098/2102] ✓ Converted: BuildingScore.java → converted/include/zombie/iso/areas/BuildingScore.h
[1099/2102] ✓ Converted: IsoBuilding.java → converted/include/zombie/iso/areas/IsoBuilding.h
[1100/2102] ✓ Converted: IsoArea.java → converted/include/zombie/iso/areas/IsoArea.h
[1101/2102] ✓ Converted: IsoRoomExit.java → converted/include/zombie/iso/areas/IsoRoomExit.h
[1102/2102] ✓ Converted: IsoRoom.java → converted/include/zombie/iso/areas/IsoRoom.h
[1103/2102] ✓ Converted: SkyBox.java → converted/include/zombie/iso/sprite/SkyBox.h
[1104/2102] ✓ Converted: IsoSprite.java → converted/include/zombie/iso/sprite/IsoSprite.h
[1105/2102] ✓ Converted: IsoDirectionFrame.java → converted/include/zombie/iso/sprite/IsoDirectionFrame.h
[1106/2102] ✓ Converted: IsoSpriteInstance.java → converted/include/zombie/iso/sprite/IsoSpriteInstance.h
[1107/2102] ✓ Converted: IsoSpriteManager.java → converted/include/zombie/iso/sprite/IsoSpriteManager.h
[1108/2102] ✓ Converted: IsoCursor.java → converted/include/zombie/iso/sprite/IsoCursor.h
[1109/2102] ✓ Converted: IsoAnim.java → converted/include/zombie/iso/sprite/IsoAnim.h
[1110/2102] ✓ Converted: IsoSpriteGrid.java → converted/include/zombie/iso/sprite/IsoSpriteGrid.h
[1111/2102] ✓ Converted: CorpseFlies.java → converted/include/zombie/iso/sprite/CorpseFlies.h
[1112/2102] ✓ Converted: SkyBoxShader.java → converted/include/zombie/iso/sprite/SkyBoxShader.h
[1113/2102] ✓ Converted: FogShader.java → converted/include/zombie/iso/weather/fog/FogShader.h
[1114/2102] ✓ Converted: ImprovedFog.java → converted/include/zombie/iso/weather/fog/ImprovedFog.h
[1115/2102] ✓ Converted: ClimMngrDebug.java → converted/include/zombie/iso/weather/dbg/ClimMngrDebug.h
[1116/2102] ✓ Converted: IsoWeatherFX.java → converted/include/zombie/iso/weather/fx/IsoWeatherFX.h
[1117/2102] ✓ Converted: CloudParticle.java → converted/include/zombie/iso/weather/fx/CloudParticle.h
[1118/2102] ✓ Converted: RainParticle.java → converted/include/zombie/iso/weather/fx/RainParticle.h
[1119/2102] ✓ Converted: WeatherParticle.java → converted/include/zombie/iso/weather/fx/WeatherParticle.h
[1120/2102] ✓ Converted: SnowParticle.java → converted/include/zombie/iso/weather/fx/SnowParticle.h
[1121/2102] ✓ Converted: FogParticle.java → converted/include/zombie/iso/weather/fx/FogParticle.h
[1122/2102] ✓ Converted: SteppedUpdateFloat.java → converted/include/zombie/iso/weather/fx/SteppedUpdateFloat.h
[1123/2102] ✓ Converted: WeatherFxMask.java → converted/include/zombie/iso/weather/fx/WeatherFxMask.h
[1124/2102] ✓ Converted: ParticleRectangle.java → converted/include/zombie/iso/weather/fx/ParticleRectangle.h
[1125/2102] ✓ Converted: IClothingWasherDryerLogic.java → converted/include/zombie/iso/objects/interfaces/IClothingWasherDryerLogic.h
[1126/2102] ✓ Converted: Thumpable.java → converted/include/zombie/iso/objects/interfaces/Thumpable.h
[1127/2102] ✓ Converted: BarricadeAble.java → converted/include/zombie/iso/objects/interfaces/BarricadeAble.h
[1128/2102] ✓ Converted: Activatable.java → converted/include/zombie/iso/objects/interfaces/Activatable.h
[1129/2102] ✓ Converted: IsoRegionsLogger.java → converted/include/zombie/iso/areas/isoregion/IsoRegionsLogger.h
[1130/2102] ✓ Converted: IsoRegionWorker.java → converted/include/zombie/iso/areas/isoregion/IsoRegionWorker.h
[1131/2102] ✓ Converted: IsoRegionsRenderer.java → converted/include/zombie/iso/areas/isoregion/IsoRegionsRenderer.h
[1132/2102] ✓ Converted: IsoRegionLogType.java → converted/include/zombie/iso/areas/isoregion/IsoRegionLogType.h
[1133/2102] ✓ Converted: IsoRegions.java → converted/include/zombie/iso/areas/isoregion/IsoRegions.h
[1134/2102] ✓ Converted: IsoRegionException.java → converted/include/zombie/iso/areas/isoregion/IsoRegionException.h
[1135/2102] ✓ Converted: ChunkUpdate.java → converted/include/zombie/iso/areas/isoregion/ChunkUpdate.h
[1136/2102] ✓ Converted: RegionJobType.java → converted/include/zombie/iso/areas/isoregion/jobs/RegionJobType.h
[1137/2102] ✓ Converted: JobApplyChanges.java → converted/include/zombie/iso/areas/isoregion/jobs/JobApplyChanges.h
[1138/2102] ✓ Converted: JobServerSendFullData.java → converted/include/zombie/iso/areas/isoregion/jobs/JobServerSendFullData.h
[1139/2102] ✓ Converted: JobSquareUpdate.java → converted/include/zombie/iso/areas/isoregion/jobs/JobSquareUpdate.h
[1140/2102] ✓ Converted: RegionJob.java → converted/include/zombie/iso/areas/isoregion/jobs/RegionJob.h
[1141/2102] ✓ Converted: JobDebugResetAllData.java → converted/include/zombie/iso/areas/isoregion/jobs/JobDebugResetAllData.h
[1142/2102] ✓ Converted: RegionJobManager.java → converted/include/zombie/iso/areas/isoregion/jobs/RegionJobManager.h
[1143/2102] ✓ Converted: JobChunkUpdate.java → converted/include/zombie/iso/areas/isoregion/jobs/JobChunkUpdate.h
[1144/2102] ✓ Converted: DataChunk.java → converted/include/zombie/iso/areas/isoregion/data/DataChunk.h
[1145/2102] ✓ Converted: DataRoot.java → converted/include/zombie/iso/areas/isoregion/data/DataRoot.h
[1146/2102] ✓ Converted: DataSquarePos.java → converted/include/zombie/iso/areas/isoregion/data/DataSquarePos.h
[1147/2102] ✓ Converted: DataCell.java → converted/include/zombie/iso/areas/isoregion/data/DataCell.h
[1148/2102] ✓ Converted: IsoChunkRegion.java → converted/include/zombie/iso/areas/isoregion/regions/IsoChunkRegion.h
[1149/2102] ✓ Converted: IsoWorldRegion.java → converted/include/zombie/iso/areas/isoregion/regions/IsoWorldRegion.h
[1150/2102] ✓ Converted: IWorldRegion.java → converted/include/zombie/iso/areas/isoregion/regions/IWorldRegion.h
[1151/2102] ✓ Converted: IChunkRegion.java → converted/include/zombie/iso/areas/isoregion/regions/IChunkRegion.h
[1152/2102] ✓ Converted: IsoRegionManager.java → converted/include/zombie/iso/areas/isoregion/regions/IsoRegionManager.h
[1153/2102] ✓ Converted: SpritePadding.java → converted/include/zombie/iso/sprite/shapers/SpritePadding.h
[1154/2102] ✓ Converted: FloorShaper.java → converted/include/zombie/iso/sprite/shapers/FloorShaper.h
[1155/2102] ✓ Converted: WallPaddingShaper.java → converted/include/zombie/iso/sprite/shapers/WallPaddingShaper.h
[1156/2102] ✓ Converted: WallShaper.java → converted/include/zombie/iso/sprite/shapers/WallShaper.h
[1157/2102] ✓ Converted: FloorShaperDeDiamond.java → converted/include/zombie/iso/sprite/shapers/FloorShaperDeDiamond.h
[1158/2102] ✓ Converted: WallShaperN.java → converted/include/zombie/iso/sprite/shapers/WallShaperN.h
[1159/2102] ✓ Converted: FloorShaperDiamond.java → converted/include/zombie/iso/sprite/shapers/FloorShaperDiamond.h
[1160/2102] ✓ Converted: DiamondShaper.java → converted/include/zombie/iso/sprite/shapers/DiamondShaper.h
[1161/2102] ✓ Converted: WallShaperWhole.java → converted/include/zombie/iso/sprite/shapers/WallShaperWhole.h
[1162/2102] ✓ Converted: SpritePaddingSettings.java → converted/include/zombie/iso/sprite/shapers/SpritePaddingSettings.h
[1163/2102] ✓ Converted: FloorShaperAttachedSprites.java → converted/include/zombie/iso/sprite/shapers/FloorShaperAttachedSprites.h
[1164/2102] ✓ Converted: WallShaperW.java → converted/include/zombie/iso/sprite/shapers/WallShaperW.h
[1165/2102] ✓ Converted: GenericStatePermissions.java → converted/include/zombie/ai/permission/GenericStatePermissions.h
[1166/2102] ✓ Converted: DefaultStatePermissions.java → converted/include/zombie/ai/permission/DefaultStatePermissions.h
[1167/2102] ✓ Converted: IStatePermissions.java → converted/include/zombie/ai/permission/IStatePermissions.h
[1168/2102] ✓ Converted: SleepingEvent.java → converted/include/zombie/ai/sadisticAIDirector/SleepingEvent.h
[1169/2102] ✓ Converted: SleepingEventData.java → converted/include/zombie/ai/sadisticAIDirector/SleepingEventData.h
[1170/2102] ✓ Converted: AStarPathFinder.java → converted/include/zombie/ai/astar/AStarPathFinder.h
[1171/2102] ✓ Converted: Mover.java → converted/include/zombie/ai/astar/Mover.h
[1172/2102] ✓ Converted: Path.java → converted/include/zombie/ai/astar/Path.h
[1173/2102] ✓ Converted: IPathfinder.java → converted/include/zombie/ai/astar/IPathfinder.h
[1174/2102] ✓ Converted: AStarPathFinderResult.java → converted/include/zombie/ai/astar/AStarPathFinderResult.h
[1175/2102] ✓ Converted: ZombieFallingState.java → converted/include/zombie/ai/states/ZombieFallingState.h
[1176/2102] ✓ Converted: ZombieFallDownState.java → converted/include/zombie/ai/states/ZombieFallDownState.h
[1177/2102] ✓ Converted: PlayerEmoteState.java → converted/include/zombie/ai/states/PlayerEmoteState.h
[1178/2102] ✓ Converted: LungeNetworkState.java → converted/include/zombie/ai/states/LungeNetworkState.h
[1179/2102] ✓ Converted: SmashWindowState.java → converted/include/zombie/ai/states/SmashWindowState.h
[1180/2102] ✓ Converted: BumpedState.java → converted/include/zombie/ai/states/BumpedState.h
[1181/2102] ✓ Converted: CollideWithWallState.java → converted/include/zombie/ai/states/CollideWithWallState.h
[1182/2102] ✓ Converted: ClimbOverWallState.java → converted/include/zombie/ai/states/ClimbOverWallState.h
[1183/2102] ✓ Converted: PathFindState.java → converted/include/zombie/ai/states/PathFindState.h
[1184/2102] ✓ Converted: ClimbDownSheetRopeState.java → converted/include/zombie/ai/states/ClimbDownSheetRopeState.h
[1185/2102] ✓ Converted: ZombieEatBodyState.java → converted/include/zombie/ai/states/ZombieEatBodyState.h
[1186/2102] ✓ Converted: ClimbSheetRopeState.java → converted/include/zombie/ai/states/ClimbSheetRopeState.h
[1187/2102] ✓ Converted: OpenWindowState.java → converted/include/zombie/ai/states/OpenWindowState.h
[1188/2102] ✓ Converted: LungeState.java → converted/include/zombie/ai/states/LungeState.h
[1189/2102] ✓ Converted: ThumpState.java → converted/include/zombie/ai/states/ThumpState.h
[1190/2102] ✓ Converted: SwipeStatePlayer.java → converted/include/zombie/ai/states/SwipeStatePlayer.h
[1191/2102] ✓ Converted: AttackState.java → converted/include/zombie/ai/states/AttackState.h
[1192/2102] ✓ Converted: PlayerKnockedDown.java → converted/include/zombie/ai/states/PlayerKnockedDown.h
[1193/2102] ✓ Converted: CrawlingZombieTurnState.java → converted/include/zombie/ai/states/CrawlingZombieTurnState.h
[1194/2102] ✓ Converted: ZombieSittingState.java → converted/include/zombie/ai/states/ZombieSittingState.h
[1195/2102] ✓ Converted: PlayerHitReactionState.java → converted/include/zombie/ai/states/PlayerHitReactionState.h
[1196/2102] ✓ Converted: PlayerSitOnGroundState.java → converted/include/zombie/ai/states/PlayerSitOnGroundState.h
[1197/2102] ✓ Converted: FishingState.java → converted/include/zombie/ai/states/FishingState.h
[1198/2102] ✓ Converted: ZombieGetDownState.java → converted/include/zombie/ai/states/ZombieGetDownState.h
[1199/2102] ✓ Converted: ClimbOverFenceState.java → converted/include/zombie/ai/states/ClimbOverFenceState.h
[1200/2102] ✓ Converted: PlayerExtState.java → converted/include/zombie/ai/states/PlayerExtState.h
[1201/2102] ✓ Converted: WalkTowardState.java → converted/include/zombie/ai/states/WalkTowardState.h
[1202/2102] ✓ Converted: ZombieIdleState.java → converted/include/zombie/ai/states/ZombieIdleState.h
[1203/2102] ✓ Converted: PlayerStrafeState.java → converted/include/zombie/ai/states/PlayerStrafeState.h
[1204/2102] ✓ Converted: ZombieGetUpState.java → converted/include/zombie/ai/states/ZombieGetUpState.h
[1205/2102] ✓ Converted: FakeDeadZombieState.java → converted/include/zombie/ai/states/FakeDeadZombieState.h
[1206/2102] ✓ Converted: ZombieTurnAlerted.java → converted/include/zombie/ai/states/ZombieTurnAlerted.h
[1207/2102] ✓ Converted: ZombieHitReactionState.java → converted/include/zombie/ai/states/ZombieHitReactionState.h
[1208/2102] ✓ Converted: ZombieReanimateState.java → converted/include/zombie/ai/states/ZombieReanimateState.h
[1209/2102] ✓ Converted: FitnessState.java → converted/include/zombie/ai/states/FitnessState.h
[1210/2102] ✓ Converted: ZombieOnGroundState.java → converted/include/zombie/ai/states/ZombieOnGroundState.h
[1211/2102] ✓ Converted: ZombieGetUpFromCrawlState.java → converted/include/zombie/ai/states/ZombieGetUpFromCrawlState.h
[1212/2102] ✓ Converted: StaggerBackState.java → converted/include/zombie/ai/states/StaggerBackState.h
[1213/2102] ✓ Converted: ClimbThroughWindowState.java → converted/include/zombie/ai/states/ClimbThroughWindowState.h
[1214/2102] ✓ Converted: PlayerGetUpState.java → converted/include/zombie/ai/states/PlayerGetUpState.h
[1215/2102] ✓ Converted: PlayerFallDownState.java → converted/include/zombie/ai/states/PlayerFallDownState.h
[1216/2102] ✓ Converted: PlayerHitReactionPVPState.java → converted/include/zombie/ai/states/PlayerHitReactionPVPState.h
[1217/2102] ✓ Converted: CloseWindowState.java → converted/include/zombie/ai/states/CloseWindowState.h
[1218/2102] ✓ Converted: ForecastBeatenPlayerState.java → converted/include/zombie/ai/states/ForecastBeatenPlayerState.h
[1219/2102] ✓ Converted: ZombieFaceTargetState.java → converted/include/zombie/ai/states/ZombieFaceTargetState.h
[1220/2102] ✓ Converted: PlayerFallingState.java → converted/include/zombie/ai/states/PlayerFallingState.h
[1221/2102] ✓ Converted: PlayerActionsState.java → converted/include/zombie/ai/states/PlayerActionsState.h
[1222/2102] ✓ Converted: WalkTowardNetworkState.java → converted/include/zombie/ai/states/WalkTowardNetworkState.h
[1223/2102] ✓ Converted: AttackNetworkState.java → converted/include/zombie/ai/states/AttackNetworkState.h
[1224/2102] ✓ Converted: PlayerOnGroundState.java → converted/include/zombie/ai/states/PlayerOnGroundState.h
[1225/2102] ✓ Converted: PlayerAimState.java → converted/include/zombie/ai/states/PlayerAimState.h
[1226/2102] ✓ Converted: IdleState.java → converted/include/zombie/ai/states/IdleState.h
[1227/2102] ✓ Converted: FakeDeadAttackState.java → converted/include/zombie/ai/states/FakeDeadAttackState.h
[1228/2102] ✓ Converted: BurntToDeath.java → converted/include/zombie/ai/states/BurntToDeath.h
[1229/2102] ✓ Converted: OffscreenBuffer.java → converted/include/zombie/debug/options/OffscreenBuffer.h
[1230/2102] ✓ Converted: Terrain.java → converted/include/zombie/debug/options/Terrain.h
[1231/2102] ✓ Converted: IDebugOption.java → converted/include/zombie/debug/options/IDebugOption.h
[1232/2102] ✓ Converted: IsoSprite.java → converted/include/zombie/debug/options/IsoSprite.h
[1233/2102] ✓ Converted: OptionGroup.java → converted/include/zombie/debug/options/OptionGroup.h
[1234/2102] ✓ Converted: Animation.java → converted/include/zombie/debug/options/Animation.h
[1235/2102] ✓ Converted: IDebugOptionGroup.java → converted/include/zombie/debug/options/IDebugOptionGroup.h
[1236/2102] ✓ Converted: Network.java → converted/include/zombie/debug/options/Network.h
[1237/2102] ✓ Converted: Character.java → converted/include/zombie/debug/options/Character.h
[1238/2102] ✓ Converted: Weather.java → converted/include/zombie/debug/options/Weather.h
[1239/2102] ✓ Converted: RadioBroadCast.java → converted/include/zombie/radio/scripting/RadioBroadCast.h
[1240/2102] ✓ Converted: RadioChannel.java → converted/include/zombie/radio/scripting/RadioChannel.h
[1241/2102] ✓ Converted: RadioScriptManager.java → converted/include/zombie/radio/scripting/RadioScriptManager.h
[1242/2102] ✓ Converted: DynamicRadioChannel.java → converted/include/zombie/radio/scripting/DynamicRadioChannel.h
[1243/2102] ✓ Converted: RadioScript.java → converted/include/zombie/radio/scripting/RadioScript.h
[1244/2102] ✓ Converted: RadioLine.java → converted/include/zombie/radio/scripting/RadioLine.h
[1245/2102] ✓ Converted: LineEffectMemory.java → converted/include/zombie/radio/effects/LineEffectMemory.h
[1246/2102] ✓ Converted: RecordedMedia.java → converted/include/zombie/radio/media/RecordedMedia.h
[1247/2102] ✓ Converted: MediaData.java → converted/include/zombie/radio/media/MediaData.h
[1248/2102] ✓ Converted: StoryEmitter.java → converted/include/zombie/radio/StorySounds/StoryEmitter.h
[1249/2102] ✓ Converted: SLSoundManager.java → converted/include/zombie/radio/StorySounds/SLSoundManager.h
[1250/2102] ✓ Converted: EventSound.java → converted/include/zombie/radio/StorySounds/EventSound.h
[1251/2102] ✓ Converted: StorySound.java → converted/include/zombie/radio/StorySounds/StorySound.h
[1252/2102] ✓ Converted: StorySoundEvent.java → converted/include/zombie/radio/StorySounds/StorySoundEvent.h
[1253/2102] ✓ Converted: DataPoint.java → converted/include/zombie/radio/StorySounds/DataPoint.h
[1254/2102] ✓ Converted: ExitOptionOld.java → converted/include/zombie/radio/script/ExitOptionOld.h
[1255/2102] ✓ Converted: RadioScriptInfo.java → converted/include/zombie/radio/script/RadioScriptInfo.h
[1256/2102] ✓ Converted: RadioScriptEntry.java → converted/include/zombie/radio/script/RadioScriptEntry.h
[1257/2102] ✓ Converted: ConditionIter.java → converted/include/zombie/radio/script/ConditionIter.h
[1258/2102] ✓ Converted: OperatorType.java → converted/include/zombie/radio/script/OperatorType.h
[1259/2102] ✓ Converted: ConditionContainer.java → converted/include/zombie/radio/script/ConditionContainer.h
[1260/2102] ✓ Converted: WaveSignalDevice.java → converted/include/zombie/radio/devices/WaveSignalDevice.h
[1261/2102] ✓ Converted: PresetEntry.java → converted/include/zombie/radio/devices/PresetEntry.h
[1262/2102] ✓ Converted: DeviceData.java → converted/include/zombie/radio/devices/DeviceData.h
[1263/2102] ✓ Converted: DeviceEmitter.java → converted/include/zombie/radio/devices/DeviceEmitter.h
[1264/2102] ✓ Converted: DeviceDataNetTypes.java → converted/include/zombie/radio/devices/DeviceDataNetTypes.h
[1265/2102] ✓ Converted: DevicePresets.java → converted/include/zombie/radio/devices/DevicePresets.h
[1266/2102] ✓ Converted: RadioGlobalBool.java → converted/include/zombie/radio/globals/RadioGlobalBool.h
[1267/2102] ✓ Converted: RadioGlobalString.java → converted/include/zombie/radio/globals/RadioGlobalString.h
[1268/2102] ✓ Converted: CompareMethod.java → converted/include/zombie/radio/globals/CompareMethod.h
[1269/2102] ✓ Converted: EditGlobalOps.java → converted/include/zombie/radio/globals/EditGlobalOps.h
[1270/2102] ✓ Converted: RadioGlobalsManager.java → converted/include/zombie/radio/globals/RadioGlobalsManager.h
[1271/2102] ✓ Converted: EditGlobal.java → converted/include/zombie/radio/globals/EditGlobal.h
[1272/2102] ✓ Converted: RadioGlobal.java → converted/include/zombie/radio/globals/RadioGlobal.h
[1273/2102] ✓ Converted: CompareResult.java → converted/include/zombie/radio/globals/CompareResult.h
[1274/2102] ✓ Converted: RadioGlobalFloat.java → converted/include/zombie/radio/globals/RadioGlobalFloat.h
[1275/2102] ✓ Converted: RadioGlobalInt.java → converted/include/zombie/radio/globals/RadioGlobalInt.h
[1276/2102] ✓ Converted: RadioGlobalType.java → converted/include/zombie/radio/globals/RadioGlobalType.h
[1277/2102] ✓ Converted: EditGlobalEvent.java → converted/include/zombie/radio/globals/EditGlobalEvent.h
[1278/2102] ✓ Converted: ArgType.java → converted/include/zombie/commands/serverCommands/ArgType.h
[1279/2102] ✓ Converted: StopWeatherCommand.java → converted/include/zombie/commands/serverCommands/StopWeatherCommand.h
[1280/2102] ✓ Converted: ReloadLuaCommand.java → converted/include/zombie/commands/serverCommands/ReloadLuaCommand.h
[1281/2102] ✓ Converted: TeleportToCommand.java → converted/include/zombie/commands/serverCommands/TeleportToCommand.h
[1282/2102] ✓ Converted: AddVehicleCommand.java → converted/include/zombie/commands/serverCommands/AddVehicleCommand.h
[1283/2102] ✓ Converted: CheckModsNeedUpdate.java → converted/include/zombie/commands/serverCommands/CheckModsNeedUpdate.h
[1284/2102] ✓ Converted: GunShotCommand.java → converted/include/zombie/commands/serverCommands/GunShotCommand.h
[1285/2102] ✓ Converted: DebugPlayerCommand.java → converted/include/zombie/commands/serverCommands/DebugPlayerCommand.h
[1286/2102] ✓ Converted: HelpCommand.java → converted/include/zombie/commands/serverCommands/HelpCommand.h
[1287/2102] ✓ Converted: GodModeCommand.java → converted/include/zombie/commands/serverCommands/GodModeCommand.h
[1288/2102] ✓ Converted: CreateHorde2Command.java → converted/include/zombie/commands/serverCommands/CreateHorde2Command.h
[1289/2102] ✓ Converted: CreateHordeCommand.java → converted/include/zombie/commands/serverCommands/CreateHordeCommand.h
[1290/2102] ✓ Converted: ChopperCommand.java → converted/include/zombie/commands/serverCommands/ChopperCommand.h
[1291/2102] ✓ Converted: RemoveAdminCommand.java → converted/include/zombie/commands/serverCommands/RemoveAdminCommand.h
[1292/2102] ✓ Converted: ConnectionsCommand.java → converted/include/zombie/commands/serverCommands/ConnectionsCommand.h
[1293/2102] ✓ Converted: UnbanSteamIDCommand.java → converted/include/zombie/commands/serverCommands/UnbanSteamIDCommand.h
[1294/2102] ✓ Converted: AlarmCommand.java → converted/include/zombie/commands/serverCommands/AlarmCommand.h
[1295/2102] ✓ Converted: VoiceBanCommand.java → converted/include/zombie/commands/serverCommands/VoiceBanCommand.h
[1296/2102] ✓ Converted: AddAllToWhiteListCommand.java → converted/include/zombie/commands/serverCommands/AddAllToWhiteListCommand.h
[1297/2102] ✓ Converted: StartRainCommand.java → converted/include/zombie/commands/serverCommands/StartRainCommand.h
[1298/2102] ✓ Converted: AddUserToWhiteListCommand.java → converted/include/zombie/commands/serverCommands/AddUserToWhiteListCommand.h
[1299/2102] ✓ Converted: ReplayCommands.java → converted/include/zombie/commands/serverCommands/ReplayCommands.h
[1300/2102] ✓ Converted: AddXPCommand.java → converted/include/zombie/commands/serverCommands/AddXPCommand.h
[1301/2102] ✓ Converted: LightningCommand.java → converted/include/zombie/commands/serverCommands/LightningCommand.h
[1302/2102] ✓ Converted: GrantAdminCommand.java → converted/include/zombie/commands/serverCommands/GrantAdminCommand.h
[1303/2102] ✓ Converted: ServerMessageCommand.java → converted/include/zombie/commands/serverCommands/ServerMessageCommand.h
[1304/2102] ✓ Converted: StartStormCommand.java → converted/include/zombie/commands/serverCommands/StartStormCommand.h
[1305/2102] ✓ Converted: SetAccessLevelCommand.java → converted/include/zombie/commands/serverCommands/SetAccessLevelCommand.h
[1306/2102] ✓ Converted: QuitCommand.java → converted/include/zombie/commands/serverCommands/QuitCommand.h
[1307/2102] ✓ Converted: StopRainCommand.java → converted/include/zombie/commands/serverCommands/StopRainCommand.h
[1308/2102] ✓ Converted: ReloadOptionsCommand.java → converted/include/zombie/commands/serverCommands/ReloadOptionsCommand.h
[1309/2102] ✓ Converted: RemoveZombiesCommand.java → converted/include/zombie/commands/serverCommands/RemoveZombiesCommand.h
[1310/2102] ✓ Converted: AddUserCommand.java → converted/include/zombie/commands/serverCommands/AddUserCommand.h
[1311/2102] ✓ Converted: ShowOptionsCommand.java → converted/include/zombie/commands/serverCommands/ShowOptionsCommand.h
[1312/2102] ✓ Converted: ReleaseSafehouseCommand.java → converted/include/zombie/commands/serverCommands/ReleaseSafehouseCommand.h
[1313/2102] ✓ Converted: StatisticsCommand.java → converted/include/zombie/commands/serverCommands/StatisticsCommand.h
[1314/2102] ✓ Converted: UnbanUserCommand.java → converted/include/zombie/commands/serverCommands/UnbanUserCommand.h
[1315/2102] ✓ Converted: PlayersCommand.java → converted/include/zombie/commands/serverCommands/PlayersCommand.h
[1316/2102] ✓ Converted: LogCommand.java → converted/include/zombie/commands/serverCommands/LogCommand.h
[1317/2102] ✓ Converted: BanSteamIDCommand.java → converted/include/zombie/commands/serverCommands/BanSteamIDCommand.h
[1318/2102] ✓ Converted: TeleportCommand.java → converted/include/zombie/commands/serverCommands/TeleportCommand.h
[1319/2102] ✓ Converted: InvisibleCommand.java → converted/include/zombie/commands/serverCommands/InvisibleCommand.h
[1320/2102] ✓ Converted: KickUserCommand.java → converted/include/zombie/commands/serverCommands/KickUserCommand.h
[1321/2102] ✓ Converted: SaveCommand.java → converted/include/zombie/commands/serverCommands/SaveCommand.h
[1322/2102] ✓ Converted: AddItemCommand.java → converted/include/zombie/commands/serverCommands/AddItemCommand.h
[1323/2102] ✓ Converted: ClearCommand.java → converted/include/zombie/commands/serverCommands/ClearCommand.h
[1324/2102] ✓ Converted: ThunderCommand.java → converted/include/zombie/commands/serverCommands/ThunderCommand.h
[1325/2102] ✓ Converted: RemoveUserFromWhiteList.java → converted/include/zombie/commands/serverCommands/RemoveUserFromWhiteList.h
[1326/2102] ✓ Converted: NoClipCommand.java → converted/include/zombie/commands/serverCommands/NoClipCommand.h
[1327/2102] ✓ Converted: ChangeOptionCommand.java → converted/include/zombie/commands/serverCommands/ChangeOptionCommand.h
[1328/2102] ✓ Converted: BanUserCommand.java → converted/include/zombie/commands/serverCommands/BanUserCommand.h
[1329/2102] ✓ Converted: RangeBasedChat.java → converted/include/zombie/chat/defaultChats/RangeBasedChat.h
[1330/2102] ✓ Converted: GeneralChat.java → converted/include/zombie/chat/defaultChats/GeneralChat.h
[1331/2102] ✓ Converted: SayChat.java → converted/include/zombie/chat/defaultChats/SayChat.h
[1332/2102] ✓ Converted: SafehouseChat.java → converted/include/zombie/chat/defaultChats/SafehouseChat.h
[1333/2102] ✓ Converted: WhisperChat.java → converted/include/zombie/chat/defaultChats/WhisperChat.h
[1334/2102] ✓ Converted: ServerChat.java → converted/include/zombie/chat/defaultChats/ServerChat.h
[1335/2102] ✓ Converted: FactionChat.java → converted/include/zombie/chat/defaultChats/FactionChat.h
[1336/2102] ✓ Converted: ShoutChat.java → converted/include/zombie/chat/defaultChats/ShoutChat.h
[1337/2102] ✓ Converted: AdminChat.java → converted/include/zombie/chat/defaultChats/AdminChat.h
[1338/2102] ✓ Converted: RadioChat.java → converted/include/zombie/chat/defaultChats/RadioChat.h
